Date received,Product,Consumer complaint narrative,Company,State,Company response to consumer,Resolution_Time_Days,root_cause_category,severity_score,regulatory_risk_flag
2025-07-09,Credit card,"I've been charged multiple "" cash advance fees '' - unbeknownst to me corresponding to XXXX XXXX transaction I overpaid my entire balance by such a large amount that they sent a refund of the over payment and immediately after they charged me ANOTHER cash advance fee for allegedly not having paid off my balance in full which I have done every single month ( and even overpaid by thousands this last month )",JPMORGAN CHASE & CO.,CA,Closed with explanation,0,Unknown,1,False
2025-05-18,Credit card,Capital One erroneously pulled my credit in XX/XX/year> without my permission. They gave me a credit limit increase without my permission and prior to do doing so placed a hard inquiry on my credit report. Requesting hard inquiry be removed immediately.,CAPITAL ONE FINANCIAL CORPORATION,AZ,Closed with explanation,0,Unauthorized Credit Inquiry,3,True
2025-10-20,Credit card,I made an Apple purchase via their app store for a XXXX subscription. I am unable to access this subscription yet I am still financially responsible for it. Apple blames XXXX and XXXX tells me to request a refund from Apple. Apple has denied the refund multiple times even with proof that I don't have access and screen sharing with Apple so they can see my screen.,GOLDMAN SACHS BANK USA,AZ,Closed with explanation,0,Billing Dispute,3,False
2025-12-23,Credit card,"This complaint is against Bank of America regarding their handling of a fraud claim on my XXXX XXXX credit card account ending in XXXX. 

What happened? 

On XX/XX/XXXX, XXXX fraudulent charges were made to my account from a merchant listed as "" XXXX XXXX XXXX XXXX. '' Each charge was for {$5000.00}, for a total of {$10000.00}. I did not make these purchases, nor did I authorize anyone to use my card for them. 

I reported these fraudulent transactions to Bank of America immediately. The bank opened a fraud claim ( Claim number : XXXX ) and initially applied a provisional credit for the {$10000.00} to my account. 

However, on XX/XX/XXXX, I received a letter from Bank of America stating they had completed their review and denied my claim. The letter informed me that the {$10000.00} credit would be removed from my account. Their reason for the denial was that they confirmed my card was used for the charges because the chip was read, my PIN was entered, or I signed for the transaction. 

This conclusion is incorrect. I was not present for these transactions, I did not enter my PIN, and I did not sign for any merchandise or service. Bank of America has not provided me with any specific evidence, such as a signed receipt or proof of PIN entry, to support their decision. They simply made a generic statement and closed the case, leaving me responsible for a {$10000.00} debt that is not mine. 

According to their letter, the bank has contacted credit reporting agencies to add a comment that I disagree with their decision, but this does not solve the problem. The fraudulent debt remains on my account, which will negatively impact my credit score and financial standing.","BANK OF AMERICA, NATIONAL ASSOCIATION",TX,Closed with non-monetary relief,0,Fraud Dispute Handling,5,True
2025-07-17,Credit card,"On XX/XX/2025, I received an email that my credit limit was decreased due to using their card to make purchases. I did not exceed the limit nor have I ever been late with a payment. I have also completely paid off my balance at least once during the life of the account. Maybe a coincidence, but I do not necessarily believe in those, they decreased my limit the day after I made a payment, for more than the payment itself. Therefore, if I needed to reuse the card for the funds I paid them, I now can not. 
I called for some insight to the reasoning behind it, it took over an hour and XXXX representatives and they still wanted me to wait XXXX more minutes to get me an answer. I do work and could not wait on the line any longer. No definitive answer was given other than 'Did I read the letter '. 
I do feel that they violated our agreement by not informing me of the decision to lower my credit limit within a reasonable amount of time for me to make financially stable decisions. 
In addition, the very thing they cite as a reason, lower credit score, their actions damaged my score lowering it even more, therefore, they can continue to do this until my account is closed, based on this vague answer. 
Does not seem like fair credit to me.","CITIBANK, N.A.",CO,Closed with explanation,0,Credit Limit Management,3,True
2025-04-04,Credit card,"On XXXX XXXX I tried entering my Wells Fargo visa credit card to purchase a {$27.00} bag online from XXXX after I tried with my XXXX XXXX XXXX credit card 3 times and it wouldnt go through. I was actually charged twice because I tried twice. I have never received any merchandise from this XXXX company but they did charge my credit card for {$64.00} and {$84.00} despite the bag only being {$27.00} AND not sending me anything. In fact it said on XXXX XXXX that the card failed. I have been texting with XXXX XXXX and even received the company name so texting with them directly. There is no phone number or email address, just a chat. They say they have not charged me. When I disputed the charges with Wells Fargo, they gave temporary credit but then revoked me saying the company sent them proof that I ordered merchandise. Ive explained Ive only ordered one bag for {$27.00} despite the two charges and I have not received anything from them! They say there nothing they can do if the company will not credit and I have to pay. This is outrageous and is stealing. Please help. I am going to file another complaint for my XXXX XXXX card because other, there are 3 other charges!",WELLS FARGO & COMPANY,NC,Closed with explanation,0,Billing Dispute / Unauthorized Transaction,4,True
2025-04-17,Credit card,"I was charged a late fee by Capital One after trying to make a payment using their mobile app. The payment did not go through due to an issue with the app, not any fault on my part. Ive had a perfect on-time payment history until this point. When I contacted customer service, they told me they can not waive the fee because the system doesnt allow it. I was also told my account was ineligible for issuing a waiver previously and when I corrected the agent that I had not ever used a waiver was told I stand corrected after she checked my account and still she said I can not help you due to the system This is unreasonable, as I attempted payment in good faith and their platform failed. Im requesting that the late fee be waived and this not affect my record.",CAPITAL ONE FINANCIAL CORPORATION,CA,Closed with explanation,0,Technical failure and poor customer service,3,True
2025-03-12,Credit card,An account with Captial One was opened on XX/XX/XXXX in my name I have no memory of opening the account and application process. The card was shipped to my parent 's house through the mail with an envelope saying the correct address. The amount was for a credit line of XXXX dollars with an annual fee of XXXX dollars. I have closed the account but would like a further review of my safety.,CAPITAL ONE FINANCIAL CORPORATION,TX,Closed with non-monetary relief,0,Identity Theft,4,True
2025-07-04,Credit card,"According to the FCRA, I am entitled to an investigation of my dispute by the credit reporting agency. I request that you conduct a thorough investigation into this matter and correct any inaccuracies that may be present.",DISCOVER BANK,NJ,Closed with explanation,0,Credit Reporting Dispute,3,True
2025-03-31,Credit card,Tried applying for credit card with concora credit which send letter stating givin reason for denial. Which does show credit score at end of the letter. That means they did optain my credit scores and letter provided stated unable to approve. Unable to contact per alert on your credit score which isn't a reason to denial application,"CLGF Holdco 1, LLC",WI,Closed with explanation,0,Adverse Action Notice Inaccuracy,3,True
2025-07-04,Credit card,"I declare that the inaccurate late payment remarks on my accounts constitute a violation of 15 USC 1666. I have always made my payments promptly, and any discrepancies in this reporting are both unjust and illegal.","EQUIFAX, INC.",DE,Closed with non-monetary relief,0,Credit Reporting Dispute,4,True
2025-07-16,Credit card,"On XX/XX/XXXX I received a text message notification for my husbands card with XXXX  XXXX XXXX XXXX asking if it was me that was using the card. In shock as the card had not been used since XXXX of XXXX  I called the number on the back of the card and stated this was not my husband or I using the card and to please immediately block and close it down as the card was in my possession. They proceeded to close the card an open up a case to close the cards down. The agent involved also advised me that in order to receive a replacement card I must pay them {$10.00} even though this was due to fraud/theft. This is where I learned that Fiserv who acts on behalf of XXXX  XXXX XXXX XXXX is where I called due to it being outside of normal business hours. The following day I sent a email to the credit union where I was emailed back that this was incorrect and they would mail me a card. ( This card has still not been sent out or received to this day ). 

On XX/XX/XXXXXXXX  I received another notification that my card was activated somehow and also being used for XXXX  XXXX XXXX XXXX as I am the primary. Again I quickly closed out the card and called to cancel the card. It was at this time I discovered that the card in my possession was set to expire. I looked at the online banking app for XXXX XXXX with XXXX  XXXX and saw that someone had activated the renewal cards and that is how they were being used. Again I am told that I would need to pay for a new card even though this was due to theft. I then reach out to credit union and I advise again that their servicer Fiserv is stating incorrect information. XXXX from the credit union helps me and send me a new card. ( This card has been received ). 

On XX/XX/XXXX XXXX from XXXX XXXX XXXX XXXX reaches out and tells me that even though she is at the credit union because the servicer is Fiserv she can not provide provisional credit or work my case since its due to Fraud. She advises me that I need to call about the four charges ( XXXX  on my authorized users card my husbands and XXXX  on mine as the primary totaling {$620.00} ) to request provisional credit. 

I call on XXXX as I had family in town and could not do this immediately where I was then told cases have not been worked to date and I would need to wait as they are in queue. 

As time passes through XXXX I see that provisional credit had not been added till well after XX/XX/XXXX causing my credit report to update from {$0.00} balance to {$620.00} for charges we did not complete. I call and there was no status update around the XXXX. 

Two weeks later around XX/XX/XXXX I get a letter in the mail and finally see that the card has been brought to {$0.00} balance online. This letter asks me to reach out to the fraud department with XXXX  XXXX but it is actually Fiserv working on behalf of the credit union. I call them about both cases ( which today on XX/XX/XXXX I find out they only documented XXXX case instead of XXXX ), and advised during the interview that I do still have the cards in my possession but the cards that were used were the renewal cards that were activated by someone who stole our mail from the mailbox. I had not at that time filed a police report as the U.S Postal Inspection Service had notified me that a criminal investigation in conjunction with the authorities was already under way for the mail thefts that occurred in XXXX and XXXX in our community ( I do have a case number for this as well ). 

My complaint is that on XX/XX/XXXX I looked at the online app where I noticed that the {$620.00} and re-appeared and posted to my credit card. I reached out again to Fiserv working on behalf of XXXX  and they advised me they were closed as the investigator determined a physical card was used therefore I am responsible for the transactions. I explained they could clearly do their research with XXXX and determine which cards were used along with check which phone # and/or IP address activated the renewal cards. They told me they do not re-open nor will they assist me as a physical card was used and it was determined to be in my possession. I escalated this to a supervisor also requesting said information in which I was told again they would update notes but I am responsible for the charges. I then called the credit union and spoke with XXXX and advised that this is egregious and I would certainly be filing a complaint and a official credit report and adding this situation to the ongoing criminal investigation with the US Postal Inspector. She advised that she was going to do some additional research and then get back with leadership to provide a solution. 

A follow-up to Fiserv and my escalation on XX/XX/XXXX yielded no results. They advised the case ruling would stand and no assistance was provided to me. They admitted no additional research was done and could still not prove that the cards in my possession were used to conduct this transaction. Today nearly two months after the balance remains on my credit card and I have not been treated fairly.",FISERV FINXACT CORE,TX,Closed with explanation,0,Fraud and Unauthorized Transactions,5,True
2025-04-28,Credit card,"Summary of Complaint : I am filing this complaint against Target Card Services concerning a late payment that was reported to the credit bureaus, which has negatively impacted my credit scorXXXX despite my overall positive payment history. 


Details of the Issue : In XX/XX/year>, I inadvertently missed a payment on my Target Card account due to an unintentional oversight. This was not due to financial hardship, negligence, or an inability to pay ; it was a simple mistake in managing my due dates amidst a busy period. 

As soon as I realized the error, I made the necessary payment promptly and brought the account current. Unfortunately, despite this isolated incident and my previously strong history of on-time payments, Target Card Services reported the late payment to the credit bureaus, causing a significant drop in my credit score.

Steps Taken : I contacted Target Card Services to explain the situation and requested a goodwill adjustment to remove the late payment.

I emphasized my positive payment history and the fact that this was a rare, isolated oversight.

Target Card Services has so far declined to accommodate my request.",TD BANK US HOLDING COMPANY,NY,Closed with explanation,0,Credit Reporting Dispute,2,False
2025-09-25,Credit card,"Payment {$510.00} made XXXX Payment {$10000.00} XXXX - verified with customer service representative. Requested lowered APR and was denied. Requested account be closed. Customer support verified payment, account balance {$0.00} and paid in full. Account closed. 

Statement received XXXX - balance {$140.00}. Contacted Citi Bank again, and was told that these were residual interest charges. Requested a waiver due to the lack of transparent communication around residual interest. This was denied. 

understand that residual interest is a legally permissible practice, but I believe it is deceptive and predatory in nature, especially when : The issuer does not clearly disclose how or when residual interest is calculated ; The consumer takes every step to pay off the balance in good faith ; The remaining interest is minimal and requested to be waived as a one-time courtesy. 

This practice seems to take advantage of consumers good-faith efforts to pay off debt. It feels less like fair interest accrual and more like an engineered trap that is not adequately explained during the payment process.

I respectfully ask the CFPB to review the policies of Citi Strata regarding residual interest and investigate whether their practices align with the spirit of fair, transparent consumer credit. I also request that you compel them to offer clearer disclosures and to allow for a reasonable, one-time waiver of residual interest, especially for customers acting in good faith.","CITIBANK, N.A.",IN,Closed with monetary relief,0,Billing and Disclosure Practices,2,True
2025-01-04,Credit card,On XX/XX/XXXX I made an extra payment to my Citi credit card in the amount of {$7500.00}. On XX/XX/XXXX Citi lowered my credit limit {$7500.00}. On XX/XX/XXXX I became aware of the lowered limit when I tried to use the card. I called Citi and immediately cancelled my payment of {$7500.00}. I also called my bank and cancelled the payment of {$7500.00}. The payment had not yet reached my bank. XXXX citi has my minimum payment of {$7200.00} due XX/XX/XXXX. I did make a payment of {$800.00} on XX/XX/XXXX. I have requested Citi to reinstate my credit limit to the original amount with two different managers on two separate dates. They refuse to reinstate the amount and state my minimum payment is due. The original amount of {$7500.00} was an extra payment and no payment was due on XX/XX/XXXX.,"CITIBANK, N.A.",CA,Closed with explanation,0,Credit Limit Management,3,False
2025-11-18,Credit card,"My Wells Fargo XXXX credit card was used three times fraudulently for a total of {$480.00}. The charges and dates were as follows : - XXXX XXXX XXXX XXXX XXXX XXXX for {$150.00} on XX/XX/XXXX - XXXX # XXXXXXXX XXXX XXXXXXXX, XXXX  for {$140.00} on XX/XX/XXXX - XXXX XXXX  XXXX for {$170.00} on XX/XX/XXXX I called their help line at XXXX ( XXXX ) XXXX and filed my dispute for all three charges on two separate calls, first call for the charges on XX/XX/XXXX and second call for the charge on XX/XX/XXXX. 
The two charges on XX/XX/XXXX ( XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX  ) were temporarily taken off of the card while the third ( XXXX XXXX XXXX ) never was. 
I eventually received a call from one of their representatives who asked me a series of questions regarding the card, which by then I had destroyed as instructed when I called the first time ). One of the questions related to whether or not my card had a "" Gold Chip '', I responded that I was unsure since the card had been destroyed as instructed and I had not received the new one yet. 
The two charges that were temporarily removed were added back, I called to inquire as to why this was done and they responded that their investigation decided that there was no fraud committed. The only answer as to criteria for dismissal was the "" Gold Chip '' which I had answered "" unsure '' as to its presence. I was denied information as to any other criteria. 
I have reopened the case with Wells Fargo, but was told the second round would take 15-20 days. I have already been charged on interest payments for these fraudulent charges and do not want to have to continue to be held financially responsible for this fraud. I have called them several times to ask about any ways I could move this process along faster- I even asked if filing a police report and then presenting them with it would help and they continued to provide non-answers. 
As a customer of Wells Fargo I feel no confidence in the bank 's ability to render a fair judgement on the fraud, given that the only basis for the dismissal was an interpretation of "" unsure '' as an admission of guilt. 
I have practically been called a liar by their help line at XXXX ( XXXX ) XXXX and wish the matter to be resolved sooner rather than later.",WELLS FARGO & COMPANY,FL,Closed with monetary relief,0,Fraud Dispute Handling,4,True
2025-01-08,Credit card,"I received a security system from XXXX an affiliate of Fortiva retail credit company. The amount that was disguised and agreed to during the time I was very clear that I was out of work on XXXX from having XXXX car accidents within XXXX  days XXXX deer hit me. I made the sales rep. aware he said I would be fine presented me a quote that was within my budget, I agreed to move forward unfortunately I was unclear of the retail credit company and the credit process. When he gave the hand written quote it was for a total balance he did not clarify that the would be XXXX separate transactions for a higher amount than we spoke on that I believed to be the full pitching price broken down into monthly installments. I have reached out on numerous occasions and sales representatives have been in touch however, their limited knowledge and ability to handle this matter is unsuitable. I have spoken to customer service representatives who stated they were unsure why I was transferred to them in the first place from XXXX customer service representatives to Fortiva customer service representatives both companies responded similar once I explained all the details and other occasions they simply were rude and or had no information to provide for me. When they werent rude they simply had no resolutions to the matter. I was advised to pay the full balance and Fortiva would stop contacting me and I would no longer owe them anything. Thats the only solution a Fortiva sales rep could provide.",Atlanticus Services Corporation,NY,Closed with monetary relief,0,Deceptive Sales Practices,4,True
2025-03-21,Credit card,"Every man nth for the past year, I set m settings to paperless billing for XXXX credit card accounts. I keep receiving paper statements mailed to my home.",CAPITAL ONE FINANCIAL CORPORATION,DE,Closed with non-monetary relief,0,Billing and Statement Delivery,2,False
2025-09-18,Credit card,"I had a credit card I had defaulted on a couple years ago from Wells Fargo when I got in too deep of debt. I found out that I needed to settle this account in order to get credit approved for buying my first house. I called the 3rd party company and settled the account per their instructions and was provided a letter stating this fact from the 3rd party company regarding the Wells Fargo Account. I was told that XXXX XXXX would not accept this letter and that it had to be from Wells Fargo. I called Wells Fargo on XX/XX/year> and was told it would be XX/XX/year> before I could get a letter from them stating the account had been settled and closed but I could call back prior to that to see if the letter was available sooner than the XXXX. It never was. On the morning of the XXXX I called to verify the letter was available and told it was and that I could go to a Wells Fargo branch so it could be emailed to the branch and they would print it out. I went to the branch and with the assistance of a Wells Fargo employee contacted Wells Fargo again and was told yet again the letter was available and it would be emailed to her that day most likely but if not then it would be there on the morning of the XXXX. It was not. After numerous phone calls and getting told multiple stories of how things worked, all of which contradicted everything I had been told for 2 weeks I called my Mortgage contact who joined me on the phone to try and help. We were told that we'd have to speak to a specialist in the executive group and there was nothing they could do. I have still not heard back from the specialist and am in jeopardy of losing all of the money I have put out for this house based on what Wells Fargo told me was the timeline of 2 weeks to get the letter. They have made it clear they don't care and have done nothing to try and assist in solving this problem.",WELLS FARGO & COMPANY,TX,Closed with explanation,0,Customer Service/Documentation Failure,4,True
2025-01-24,Credit card,Settled CAPITAL ONE Acct ending XXXX on XX/XX/year> posted to bank on XX/XX/year>. Had to pay debt collector XXXX & XXXX ( # XXXX ). XXXX amt {$3200.00} settled for {$2600.00}. Received settlement letter dated XX/XX/year> from the collecting attorneys XXXX XXXX XXXX showing XXXX balance. We've attempted to obtain the XXXX balance settlement letter from CAPITAL ONE at least XXXX times and each time they keep referring us to the collecting atttys. WE HAVE TO HAVE THE ONE COME DIRECTLY FROM CAPITAL ONE. We're trying to move as we lost our home during HURRICANE MILTON. We can not proceed without this letter coming from Capital One per the lender of the home we are trying to obtain. Please please please help us! We don't know what else to do. NO ONE IS WILLING TO HELP- EVERY PERSON WE'VE SPOKEN TO AT CAPITAL ONE DIRECTS US BACK TO THE DEBT COLLECTOR ATTORNEYS. We're frustrated and are still living in a home that has no flooring and a tarp on the roof so when it rains it pours into the home. There is no reason as to why they haven't been able to send the letter to us.,CAPITAL ONE FINANCIAL CORPORATION,FL,Closed with explanation,0,Customer Service/Documentation Dispute,4,True
2025-01-20,Credit card,"In XXXX made a payment of {$1000.00}, was provided with a confirmation number. When I received my statement the following month it said I was late and that I hadnt made the payment. I called in, I complained, I provided my confirmation number, and this went on for a couple of months back-and-forth. They could not find my payment. Contacted my bank in which they contacted the credit card company and within a couple of hours, I was told that they did find the payment, and they credited my account and said that it was corrected. Ive just been notified again that they have again added {$1000.00} to my account saying that I owe it. I made the payment, they lost the payment, then they found the payment and I am still coming out owing an extra {$1000.00} that is not correct.","CITIBANK, N.A.",CA,Closed with explanation,2,Payment Processing Error,5,True
2025-10-20,Credit card,"XXXXFrom: XXXX XXXXTo: \tConsumer Financial Protection BureauXXXX XXXX XXXXSubject: Urgent Complaint Regarding Airline Booking Scam and Unfulfilled RefundXXXXI am writing to formally lodge a complaint regarding a fraudulent transaction involving an entity that impersonated XXXX XXXX and scammed me out of XXXX for a flight booking that was never delivered.XXXXThe charge in question was made by a scam business impersonating XXXX XXXX which promised to provide a service but ultimately did not deliver anything. I did not receive any benefits from this transaction, and I would appreciate your help in resolving this matter.XXXXTransaction DetailsXXXX XXXX XXXX XXXX XXXX XXXX XXXX on my Citi XXXX XXXX XXXX card number XXXX XXXX         Currently I replace with a new credit card number ending XXXX  to prevent further XXXX        charge by XXXX XXXXMerchant Name: XXXX XXXX XXXX XXXX XXXXI originally booked a flight with XXXX XXXX, an online travel agency for my XXXX XXXX  multiple city flights from XXXX XXXX XXXX XXXX to XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  and from XXXX XXXX XXXX XXXX XXXX XXXX on XXXX XXXX (with XXXX XXXX, confirmation code: XXXX), and from XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX with a total amount of XXXX XXXX XXXX XXXX  I tried to check in online with United Airlines but could not complete the check-in. I searched for XXXX XXXX customer service and unfortunately ended up calling a scam number, where I spoke to someone named XXXXXXXX XXXX who claimed to be a XXXX XXXX  agent. He told me he could rebook the whole trip at half the price I initially paid, which amounted to XXXX since there was a promotion from XXXX XXXX at that time and sent me an email confirming a refund of the original booking amount of XXXX (XXXX  file attached: XXXX XXXX ). I recognize that there was a XXXX XXXX XXXX  on the email. He also confirmed to me that he was able to check in my two sisters to fly from XXXX  to XXXX  and that luggage fees had been paid.XXXXHowever, when I checked in at the airport on XXXX XXXX  I was informed that the luggage fees were not covered, despite what I was told. I paid the luggage fees to ensure my sisters could fly on time. I later contacted the number in the refund email, and the phone disconnected after ringing for a while. I checked my credit card transaction and found the phone number XXXX XXXX XXXXI called that number and was able to speak to someone named ""XXXX XXXX"" who identified himself as ""XXXX XXXX Supervisor."" He stated that the new flight booking by XXXX XXXX  had not been successful, and there was no coach tickets available on any flight on the day my sisters need go home as schedule (XXXX XXXX). Based on this claim  which I now believe to be false  I was pressured into purchasing two first-class tickets with the amount of XXXX to ensure they could travel as planned. The merchant misrepresented the situation to lure me in a higher payment.XXXXRealizing I had been dealing with a scam business XXXX XXXX, I requested a refund for the XXXX charge on my credit card, conditioned on receiving a confirmation email, and then I would discuss the two first-class tickets with him (XXXX XXXX XXXX XXXX XXXX). The moment I received the email, I hung up the phone call. XXXX XXXX reached out to me multiple times after I hung up and threatened me with losing the opportunity if I didnt respond immediately. Subsequently, I called both XXXX XXXX  and XXXX XXXX, who confirmed that my original booking with XXXX XXXX  was still valid. This shows that the scam company had taken my money without providing any service.\nI have made more than XXXX  attempts to resolve this issue directly with the merchant by calling the number associated with the transaction asking for the refund as XXXX XXXX email. However, the responses I received were inconsistent, and despite my attempts to discuss the refund, I faced various obstacles. Representatives mentioned that a refund had already been issued but never give me the refund reference and directed me to contact my bank. Unfortunately, they have not provided a refund reference number, and there were instances where the call was abruptly ended, or I was left on hold for extended periods. Now, they have blocked my phone calls. I have attached a call log for your reference.XXXXThe XXXX XXXX organization uses spoofing email tactics to send emails, and I cannot reply to them using the senders email address. With the email received, I tracked down their domain names, air-reservations.com and reservationdesks.com, which are currently hosted by XXXX domain serviceXXXXI reported to XXXX the domains in question that are being used to send deceptive emails with the intent to scam recipients out of money, but they only proceed with their investigation at law enforcements request.XXXXI want to emphasize that I did not sign any contract, terms, or conditions with this merchant. XXXX XXXX appears to be a criminal organization that misrepresents facts for monetary gain and has no intention of fulfilling their promises. Such businesses should not be part of the United States banking system. This situation has caused significant financial and emotional distress. I am requesting the CFPBs assistance in investigating this matter and holding the responsible parties accountable. \nI have attached copies of the transaction details, email correspondence, and any other relevant documentation to support my claim. XXXXI respectfully urge the Bureau to take action to prevent further consumer harm and assist in recovering the funds lost to this scam.XXXXPlease let me know if you require any further information or additional documentation to assist in this matter. XXXXThank you for your attention to this urgent issue.'","CITIBANK, N.A.",CO,Closed with monetary relief,15,Fraud/Scam,5,True
